Optical_Path_Difference (cm),"Intencity, a.u."
-0.25,0.001397873
-0.2498611,0.001675928
-0.2497222,0.002460177
-0.2495833,0.003081257
-0.2494444,0.003560478
-0.2493056,0.002905274
-0.2491667,0.001606787
-0.2490278,-0.00041
-0.2488889,-0.00199
-0.24875,-0.00312
-0.2486111,-0.00324
-0.2484722,-0.0032
-0.2483333,-0.0028
-0.2481944,-0.00249
-0.2480556,-0.00138
-0.2479167,0.000121439
-0.2477778,0.002061273
-0.2476389,0.003244425
-0.2475,0.003803665
-0.2473611,0.003204937
-0.2472222,0.002333964
-0.2470833,0.000995094
-0.2469444,-0.00000224
-0.2468056,-0.00119
-0.2466667,-0.00207
-0.2465278,-0.00316
-0.2463889,-0.00361
-0.24625,-0.00349
-0.2461111,-0.00222
-0.2459722,-0.0007
-0.2458333,0.001056487
-0.2456944,0.002116556
-0.2455556,0.002912576
-0.2454167,0.003013755
-0.2452778,0.002986486
-0.2451389,0.002407128
-0.245,0.001826877
-0.2448611,0.000634039
-0.2447222,-0.000537
-0.2445833,-0.0019
-0.2444444,-0.00248
-0.2443056,-0.00259
-0.2441667,-0.00185
-0.2440278,-0.00121
-0.2438889,-0.000418
-0.24375,-0.0000799
-0.2436111,0.000429893
-0.2434722,0.000694538
-0.2433333,0.001260037
-0.2431944,0.001437659
-0.2430556,0.001469249
-0.2429167,0.000767256
-0.2427778,8.74646E-05
-0.2426389,-0.000663
-0.2425,-0.000684
-0.2423611,-0.000617
-0.2422222,-0.000359
-0.2420833,-0.000652
-0.2419444,-0.000855
-0.2418056,-0.00118
-0.2416667,-0.000818
-0.2415278,-0.000318
-0.2413889,0.000463719
-0.24125,0.000552232
-0.2411111,0.000407095
-0.2409722,-0.0000867
-0.2408333,0.000154073
-0.2406944,0.000660861
-0.2405556,0.001544202
-0.2404167,0.001667733
-0.2402778,0.001388038
-0.2401389,0.000516916
-0.24,9.46171E-05
-0.2398611,-0.000174
-0.2397222,1.37038E-05
-0.2395833,-0.000351
-0.2394444,-0.000985
-0.2393056,-0.00203
-0.2391667,-0.00223
-0.2390278,-0.00173
-0.2388889,-0.000291
-0.23875,0.000794376
-0.2386111,0.001444066
-0.2384722,0.001196558
-0.2383333,0.001120711
-0.2381944,0.001075561
-0.2380556,0.001415009
-0.2379167,0.001127566
-0.2377778,0.000336016
-0.2376389,-0.00125
-0.2375,-0.0024
-0.2373611,-0.00286
-0.2372222,-0.00205
-0.2370833,-0.00109
-0.2369444,-0.000258
-0.2368056,-0.000182
-0.2366667,0.000169719
-0.2365278,0.000699753
-0.2363889,0.001819874
-0.23625,0.00241741
-0.2361111,0.002395506
-0.2359722,0.001243199
-0.2358333,5.4533E-05
-0.2356944,-0.00098
-0.2355556,-0.00101
-0.2354167,-0.000825
-0.2352778,-0.000472
-0.2351389,-0.000715
-0.235,-0.000744
-0.2348611,-0.000484
-0.2347222,0.000632102
-0.2345833,0.001461799
-0.2344444,0.00181287
-0.2343056,0.000980491
-0.2341667,2.23465E-05
-0.2340278,-0.000941
-0.2338889,-0.00106
-0.23375,-0.00106
-0.2336111,-0.000799
-0.2334722,-0.000936
-0.2333333,-0.000739
-0.2331944,-0.000408
-0.2330556,0.000696028
-0.2329167,0.00154897
-0.2327778,0.001970673
-0.2326389,0.001207287
-0.2325,0.000149453
-0.2323611,-0.000988
-0.2322222,-0.00137
-0.2320833,-0.00173
-0.2319444,-0.00184
-0.2318056,-0.00218
-0.2316667,-0.00182
-0.2315278,-0.00101
-0.2313889,0.000695283
-0.23125,0.002160067
-0.2311111,0.003307755
-0.2309722,0.003275866
-0.2308333,0.002775932
-0.2306944,0.001799608
-0.2305556,0.001131142
-0.2304167,8.26962E-05
-0.2302778,-0.00118
-0.2301389,-0.00297
-0.23,-0.00399
-0.2298611,-0.00401
-0.2297222,-0.00256
-0.2295833,-0.000838
-0.2294444,0.000945921
-0.2293056,0.001937444
-0.2291667,0.002824063
-0.2290278,0.003276462
-0.2288889,0.003762091
-0.22875,0.003287936
-0.2286111,0.002022678
-0.2284722,-0.000478
-0.2283333,-0.00284
-0.2281944,-0.00447
-0.2280556,-0.00439
-0.2279167,-0.00366
-0.2277778,-0.00252
-0.2276389,-0.0018
-0.2275,-0.000656
-0.2273611,0.000792886
-0.2272222,0.002854908
-0.2270833,0.004144455
-0.2269444,0.004460061
-0.2268056,0.003120298
-0.2266667,0.001325751
-0.2265278,-0.000512
-0.2263889,-0.00128
-0.22625,-0.00165
-0.2261111,-0.00177
-0.2259722,-0.00241
-0.2258333,-0.00268
-0.2256944,-0.00223
-0.2255556,-0.000397
-0.2254167,0.00150382
-0.2252778,0.002919728
-0.2251389,0.00278532
-0.225,0.002039219
-0.2248611,0.001004929
-0.2247222,0.000714505
-0.2245833,0.00045597
-0.2244444,0.000222618
-0.2243056,-0.00087
-0.2241667,-0.00192
-0.2240278,-0.00263
-0.2238889,-0.00191
-0.22375,-0.000607
-0.2236111,0.000799442
-0.2234722,0.000974084
-0.2233333,0.000499184
-0.2231944,-0.000322
-0.2230556,-0.000323
-0.2229167,-0.0000854
-0.2227778,0.000302488
-0.2226389,-0.000127
-0.2225,-0.000709
-0.2223611,-0.00134
-0.2222222,-0.000902
-0.2220833,3.66516E-05
-0.2219444,0.001374925
-0.2218056,0.001765484
-0.2216667,0.001446898
-0.2215278,0.000392491
-0.2213889,-0.000122
-0.22125,-0.000354
-0.2211111,-0.000105
-0.2209722,-0.000434
-0.2208333,-0.000927
-0.2206944,-0.00158
-0.2205556,-0.00137
-0.2204167,-0.000606
-0.2202778,0.000874544
-0.2201389,0.001831496
-0.22,0.00236764
-0.2198611,0.001958753
-0.2197222,0.001474465
-0.2195833,0.00079825
-0.2194444,0.000460888
-0.2193056,-0.000328
-0.2191667,-0.00122
-0.2190278,-0.00249
-0.2188889,-0.00311
-0.21875,-0.00317
-0.2186111,-0.00208
-0.2184722,-0.000729
-0.2183333,0.000862176
-0.2181944,0.00177666
-0.2180556,0.002426947
-0.2179167,0.002400125
-0.2177778,0.002332772
-0.2176389,0.001717205
-0.2175,0.000964547
-0.2173611,-0.000449
-0.2172222,-0.00182
-0.2170833,-0.00314
-0.2169444,-0.00343
-0.2168056,-0.00299
-0.2166667,-0.00154
-0.2165278,-0.000131
-0.2163889,0.001352573
-0.21625,0.002162004
-0.2161111,0.002895738
-0.2159722,0.003136242
-0.2158333,0.003357525
-0.2156944,0.002795602
-0.2155556,0.001693661
-0.2154167,-0.000304
-0.2152778,-0.00214
-0.2151389,-0.00352
-0.215,-0.00354
-0.2148611,-0.00293
-0.2147222,-0.00181
-0.2145833,-0.00104
-0.2144444,-0.0000458
-0.2143056,0.000945026
-0.2141667,0.002473439
-0.2140278,0.003576572
-0.2138889,0.004058326
-0.21375,0.002924497
-0.2136111,0.001022512
